,,,,,,,,,,,,,,,,,
14605329.78,2.8.,3.0,6.0,14.0,18.0,19.0,25.0,34.0,NE,B,-,-,489463,1140417.9,6994915.38,218680.2,61.
14547926.22,29.7.,9.0,11.0,12.0,14.0,17.0,22.0,30.0,NE,A,-,-,402291,1166964.3,6880873.59,228587.4,60.
14487922.02,26.7.,1.0,8.0,11.0,13.0,14.0,24.0,29.0,NE,A,-,-,834411,1166921.1,6764177.16,224676.9,59.
14428944.33,22.7.,1.0,11.0,12.0,19.0,22.0,31.0,37.0,NE,A,-,-,221911,1166003.1,6647485.05,227247.3,58.
14369291.91,19.7.,19.0,21.0,25.0,26.0,27.0,29.0,30.0,NE,B,-,-,915607,1165455.0,6530884.74,224488.8,57.
14310363.6,15.7.,17.0,19.0,21.0,28.0,31.0,34.0,35.0,NE,A,-,-,849115,1220472.9,6414339.24,237567.6,56.
14248002.1,12.7.,5.0,7.0,8.0,11.0,12.0,16.0,25.0,NE,A,-,-,215576,1166599.8,6292291.95,226579.5,55.
14188524.98,8.7.,4.0,7.0,16.0,18.0,23.0,35.0,37.0,NE,A,-,-,377458,1171149.3,6175631.97,229158.9,54.
14128370.77,5.7.,10.0,13.0,15.0,21.0,24.0,26.0,30.0,NE,A,-,-,100436,1151436.6,6058517.04,219987.0,53.
14070624.18,1.7.,2.0,11.0,20.0,22.0,27.0,32.0,35.0,NE,A,-,-,527212,1187951.4,5943373.38,232464.6,52.
14009602.22,28.6.,1.0,9.0,10.0,13.0,29.0,36.0,37.0,NE,A,-,-,076913,1108042.2,5824578.24,214332.3,51.
13953339.99,24.6.,4.0,8.0,14.0,21.0,26.0,33.0,37.0,NE,A,-,-,867414,1109608.2,5713774.02,218105.1,50.
13896087.4,21.6.,1.0,5.0,9.0,33.0,34.0,36.0,39.0,NE,B,-,-,495319,1157255.1,5602813.2,224626.5,49.
13837122.94,17.6.,6.0,12.0,18.0,25.0,28.0,29.0,38.0,NE,B,-,-,926885,1166146.2,5487087.69,229631.4,48.
13776844.69,14.6.,5.0,12.0,13.0,23.0,27.0,29.0,34.0,NE,B,-,-,734532,1201508.1,5370473.07,232146.0,47.
